contractSymbol,strike,lastPrice_new,signal_type,stock_price_change_pct,option_type,volume_change_abs,volume_new,amount_threshold,amount_to_market_cap_pct,openInterest_new,amount_tier,expiry_date,bid,ask,openInterest,impliedVolatility,inTheMoney,symbol,volume_old,lastPrice_old,volume_change,volume_change_pct,option_price_change,stock_price_change,market_cap,option_price_change_pct
INTC251017C00030000,30.0,6.25,买Call，看涨,1.7409705604726964,CALL,22110.0,22563.0,13818750.0,0.008893318788674474,43345.0,10M-50M,2025-10-17,6.15,6.25,43345.0,0.68555001953125,True,INTC,453.0,5.7,22110.0,4880.794701986755,0.0964912280701754,0.017409705604726964,155383500000.0,9.649122807017541
SMCI251003C00049500,49.5,3.1,买Call，看涨,3.1908586119325864,CALL,25504.0,63952.0,7906240.000000001,0.029035458239474055,1986.0,5M-10M,2025-10-03,2.97,4.25,1986.0,0.98242205078125,True,SMCI,38448.0,1.6,25504.0,66.3337494798169,0.9375,0.031908586119325864,27229602973.0,93.75
MU251031C00182500,182.5,11.3,买Call，看涨,1.343529222796342,CALL,5467.0,6070.0,6177710.000000001,0.00350996668122014,5954.0,5M-10M,2025-10-31,11.1,11.9,5954.0,0.5512740185546876,False,MU,603.0,10.09,5467.0,906.6334991708127,0.11992071357779989,0.01343529222796342,176004804634.0,11.99207135777999
LRCX260116P00146000,146.0,14.4,卖Put，看涨,1.4421702603848063,PUT,3608.0,3648.0,5195520.0,0.003198874149780613,11.0,5M-10M,2026-01-16,14.35,14.55,11.0,0.4120542193603516,True,LRCX,40.0,18.05,3608.0,9020.0,-0.20221606648199447,0.014421702603848063,162417142930.0,-20.221606648199447
INTC251121C00040000,40.0,2.38,买Call，看涨,1.7409705604726964,CALL,20135.0,30034.0,4792130.0,0.003084066197504883,18908.0,<=5M,2025-11-21,2.37,2.38,18908.0,0.717776259765625,False,INTC,9899.0,2.18,20135.0,203.40438428124054,0.09174311926605491,0.017409705604726964,155383500000.0,9.17431192660549
SMCI251003C00051000,51.0,2.02,买Call，看涨,3.1908586119325864,CALL,22175.0,76862.0,4479350.0,0.016450294939818182,49776.0,<=5M,2025-10-03,1.96,2.05,49776.0,0.632816171875,True,SMCI,54687.0,0.83,22175.0,40.548942161756905,1.4337349397590362,0.031908586119325864,27229602973.0,143.3734939759036
SMCI251003C00052000,52.0,1.42,买Call，看涨,3.1908586119325864,CALL,30588.0,86450.0,4343496.0,0.015951374701668884,6095.0,<=5M,2025-10-03,1.38,1.43,6095.0,0.6357458300781251,True,SMCI,55862.0,0.53,30588.0,54.756363896745555,1.6792452830188676,0.031908586119325864,27229602973.0,167.92452830188677
INTC260116C00040000,40.0,3.54,买Call，看涨,1.7409705604726964,CALL,11685.0,26246.0,4136490.0,0.002662116634005541,102909.0,<=5M,2026-01-16,3.5,3.55,102909.0,0.648441015625,False,INTC,14561.0,3.2,11685.0,80.24860929881189,0.10624999999999996,0.017409705604726964,155383500000.0,10.624999999999996
LRCX260116P00140000,140.0,11.38,卖Put，看涨,1.4421702603848063,PUT,3630.0,3781.0,4130940.0,0.0025434137834701286,3493.0,<=5M,2026-01-16,11.2,11.35,3493.0,0.4147397393798828,False,LRCX,151.0,12.82,3630.0,2403.973509933775,-0.11232449297971915,0.014421702603848063,162417142930.0,-11.232449297971915
INTC251121C00035000,35.0,4.04,买Call，看涨,1.7409705604726964,CALL,9044.0,15863.0,3653776.0,0.002351456879269678,39908.0,<=5M,2025-11-21,4.0,4.1,39908.0,0.6684603466796877,True,INTC,6819.0,3.7,9044.0,132.62941780319696,0.09189189189189186,0.017409705604726964,155383500000.0,9.189189189189186
